generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
* 2001	0.2	0	0	1	multiplicative	1	0	410.183	410.054	0	0	410.183	410.054	0.999685	0	0	1	1	0	0
* 2001	0.2	0.02	0	0.98	multiplicative	1	0	409.957	409.833	0	0	409.957	409.833	0.9997	1.87802e-33	0	1	0.98	1	3.83269e-35
* 2001	0.2	0.04	0	0.96	multiplicative	1	0	409.708	409.591	0	0	409.708	409.591	0.999715	1.9235e-33	0	1	0.96	1	8.01458e-35
* 2001	0.2	0.06	0	0.94	multiplicative	1	0	409.433	409.323	0	0	409.433	409.323	0.999731	1.97504e-33	0	1	0.94	1	1.26066e-34
* 2001	0.2	0.08	0	0.92	multiplicative	1	0	409.128	409.024	0	0	409.128	409.024	0.999747	2.03402e-33	0	1	0.92	1	1.76871e-34
* 2001	0.2	0.1	0	0.9	multiplicative	1	0	408.785	408.689	0	0	408.785	408.689	0.999765	2.10227e-33	0	1	0.9	1	2.33586e-34
* 2001	0.2	0.12	0	0.88	multiplicative	1	0	408.398	408.309	0	0	408.398	408.309	0.999783	2.18234e-33	0	1	0.88	1	2.97592e-34
* 2001	0.2	0.14	0	0.86	multiplicative	1	0	407.954	407.874	0	0	407.954	407.874	0.999803	2.27782e-33	0	1	0.86	1	3.70807e-34
* 2001	0.2	0.16	0	0.84	multiplicative	1	0	407.44	407.368	0	0	407.44	407.368	0.999823	2.39398e-33	0	1	0.84	1	4.55997e-34
* 2001	0.2	0.18	0	0.82	multiplicative	1	0	406.832	406.769	0	0	406.832	406.769	0.999845	2.53901e-33	0	1	0.82	1	5.57343e-34
* 2001	0.2	0.2	0	0.8	multiplicative	1	0	406.098	406.044	0	0	406.098	406.044	0.999868	2.72624e-33	0	1	0.8	1	6.8156e-34
* 2001	0.2	0.22	0	0.78	multiplicative	1	0	405.184	405.14	0	0	405.184	405.14	0.999892	2.97934e-33	0	1	0.78	1	8.40328e-34
* 2001	0.2	0.24	0	0.76	multiplicative	1	0	403.994	403.961	0	0	403.994	403.961	0.999917	3.34512e-33	0	1	0.76	1	1.05635e-33
* 2001	0.2	0.26	0	0.74	multiplicative	1	0	402.337	402.314	0	0	402.337	402.314	0.999944	3.93295e-33	0	1	0.74	1	1.38185e-33
* 2001	0.2	0.28	0	0.72	multiplicative	1	0	399.723	399.711	0	0	399.723	399.711	0.99997	5.08367e-33	0	1	0.72	1	1.97698e-33
* 2001	0.2	0.3	0	0.7	multiplicative	1	0	394.083	394.08	0	0	394.083	394.08	0.999993	8.89406e-33	0	1	0.7	1	3.81174e-33
  272	0.2	0.32	0	0.68	multiplicative	1	0	1.40223	1.62795	0	0	1.40223	1.62795	1.16097	0.67475	0	1	0.89592	0.32525	0.241004
  210	0.2	0.34	0	0.66	multiplicative	1	0	1.26234	1.45937	0	0	1.26234	1.45937	1.15608	0.698114	0	1	0.897359	0.301886	0.264508
  178	0.2	0.36	0	0.64	multiplicative	1	0	1.14658	1.32007	0	0	1.14658	1.32007	1.1513	0.718067	0	1	0.898504	0.281933	0.287705
  156	0.2	0.38	0	0.62	multiplicative	1	0	1.04889	1.20268	0	0	1.04889	1.20268	1.14662	0.735356	0	1	0.899435	0.264644	0.310679
  139	0.2	0.4	0	0.6	multiplicative	1	0	0.96515	1.10221	0	0	0.96515	1.10221	1.14201	0.750512	0	1	0.900205	0.249488	0.333485
  126	0.2	0.42	0	0.58	multiplicative	1	0	0.892463	1.01514	0	0	0.892463	1.01514	1.13746	0.763925	0	1	0.900849	0.236075	0.356163
  115	0.2	0.44	0	0.56	multiplicative	1	0	0.828701	0.938877	0	0	0.828701	0.938877	1.13295	0.775893	0	1	0.901393	0.224107	0.378739
  106	0.2	0.46	0	0.54	multiplicative	1	0	0.772265	0.871486	0	0	0.772265	0.871486	1.12848	0.786646	0	1	0.901857	0.213354	0.401235
  98	0.2	0.48	0	0.52	multiplicative	1	0	0.721927	0.811475	0	0	0.721927	0.811475	1.12404	0.796365	0	1	0.902255	0.203635	0.423666
  91	0.2	0.5	0	0.5	multiplicative	1	0	0.676724	0.757674	0	0	0.676724	0.757674	1.11962	0.805198	0	1	0.902599	0.194802	0.446044
  85	0.2	0.52	0	0.48	multiplicative	1	0	0.635891	0.709157	0	0	0.635891	0.709157	1.11522	0.813264	0	1	0.902897	0.186736	0.468378
  80	0.2	0.54	0	0.46	multiplicative	1	0	0.59881	0.665173	0	0	0.59881	0.665173	1.11082	0.820661	0	1	0.903157	0.179339	0.490675
